lPtr = 118, cPtr = 177, rPtr = 236
lPtr = 177, cPtr = 206, rPtr = 236
lPtr = 206, cPtr = 221, rPtr = 236
lPtr = 221, cPtr = 228, rPtr = 236
lPtr = 228, cPtr = 232, rPtr = 236
lPtr = 232, cPtr = 234, rPtr = 236
lPtr = 234, cPtr = 235, rPtr = 236
lPtr = 235, cPtr = 235, rPtr = 236
lPtr = 235, cPtr = 235, rPtr = 236
lPtr = 235, cPtr = 235, rPtr = 236
lPtr = 235, cPtr = 235, rPtr = 236
lPtr = 235, cPtr = 235, rPtr = 236
lPtr = 235, cPtr = 235, rPtr = 236
lPtr = 235, cPtr = 235, rPtr = 236
lPtr = 235, cPtr = 235, rPtr = 236
lPtr = 235, cPtr = 235, rPtr = 236
lPtr = 235, cPtr = 235, rPtr = 236
lPtr = 235, cPtr = 235, rPtr = 236
lPtr = 235, cPtr = 235, rPtr = 236
lPtr = 235, cPtr = 235, rPtr = 236
lPtr = 235, cPtr = 235, rPtr = 236
lPtr = 235, cPtr = 235, rPtr = 236
lPtr = 235, cPtr = 235, rPtr = 236
lPtr = 235, cPtr = 235, rPtr = 236
lPtr = 235, cPtr = 235, rPtr = 236
lPtr = 235, cPtr = 235, rPtr = 236
lPtr = 235, cPtr = 235, rPtr = 236
lPtr = 235, cPtr = 235, rPtr = 236
lPtr = 235, cPtr = 235, rPtr = 236
lPtr = 235, cPtr = 235, rPtr = 236
lPtr = 235, cPtr = 235, rPtr = 236
lPtr = 235, cPtr = 235, rPtr = 236
lPtr = 235, cPtr = 235, rPtr = 236
lPtr = 235, cPtr = 235, rPtr = 236
lPtr = 235, cPtr = 235, rPtr = 236
lPtr = 235, cPtr = 235, rPtr = 236
lPtr = 235, cPtr = 235, rPtr = 236
lPtr = 235, cPtr = 235, rPtr = 236
lPtr = 235, cPtr = 235, rPtr = 236
lPtr = 235, cPtr = 235, rPtr = 236
lPtr = 235, cPtr = 235, rPtr = 236
lPtr = 235, cPtr = 235, rPtr = 236
lPtr = 235, cPtr = 235, rPtr = 236
lPtr = 235, cPtr = 235, rPtr = 236
lPtr = 235, cPtr = 235, rPtr = 236
lPtr = 235, cPtr = 235, rPtr = 236
lPtr = 235, cPtr = 235, rPtr = 236
lPtr = 235, cPtr = 235, rPtr = 236
lPtr = 235, cPtr = 235, rPtr = 236
lPtr = 235, cPtr = 235, rPtr = 236
lPtr = 235, cPtr = 235, rPtr = 236
lPtr = 235, cPtr = 235, rPtr = 236
lPtr = 235, cPtr = 235, rPtr = 236
lPtr = 235, cPtr = 235, rPtr = 236
lPtr = 235, cPtr = 235, rPtr = 236
lPtr = 235, cPtr = 235, rPtr = 236
lPtr = 235, cPtr = 235, rPtr = 236
lPtr = 235, cPtr = 235, rPtr = 236
lPtr = 235, cPtr = 235, rPtr = 236
lPtr = 235, cPtr = 235, rPtr = 236
lPtr = 235, cPtr = 235, rPtr = 236
lPtr = 235, cPtr = 235, rPtr = 236
lPtr = 235, cPtr = 235, rPtr = 236
lPtr = 235, cPtr = 235, rPtr = 236
lPtr = 235, cPtr = 235, rPtr = 236
lPtr = 235, cPtr = 235, rPtr = 236
lPtr = 235, cPtr = 235, rPtr = 236
lPtr = 235, cPtr = 235, rPtr = 236
lPtr = 235, cPtr = 235, rPtr = 236
lPtr = 235, cPtr = 235, rPtr = 236
lPtr = 235, cPtr = 235, rPtr = 236
lPtr = 235, cPtr = 235, rPtr = 236
lPtr = 235, cPtr = 235, rPtr = 236
lPtr = 235, cPtr = 235, rPtr = 236
lPtr = 235, cPtr = 235, rPtr = 236
lPtr = 235, cPtr = 235, rPtr = 236
lPtr = 235, cPtr = 235, rPtr = 236
lPtr = 235, cPtr = 235, rPtr = 236
lPtr = 235, cPtr = 235, rPtr = 236
lPtr = 235, cPtr = 235, rPtr = 236
lPtr = 235, cPtr = 235, rPtr = 236
lPtr = 235, cPtr = 235, rPtr = 236
lPtr = 235, cPtr = 235, rPtr = 236
lPtr = 235, cPtr = 235, rPtr = 236
lPtr = 235, cPtr = 235, rPtr = 236
lPtr = 235, cPtr = 235, rPtr = 236
lPtr = 235, cPtr = 235, rPtr = 236
lPtr = 235, cPtr = 235, rPtr = 236
lPtr = 235, cPtr = 235, rPtr = 236
lPtr = 235, cPtr = 235, rPtr = 236
lPtr = 235, cPtr = 235, rPtr = 236
lPtr = 235, cPtr = 235, rPtr = 236
lPtr = 235, cPtr = 235, rPtr = 236
lPtr = 235, cPtr = 235, rPtr = 236
lPtr = 235, cPtr = 235, rPtr = 236
lPtr = 235, cPtr = 235, rPtr = 236
lPtr = 235, cPtr = 235, rPtr = 236
lPtr = 235, cPtr = 235, rPtr = 236
lPtr = 235, cPtr = 235, rPtr = 236
lPtr = 235, cPtr = 235, rPtr = 236
lPtr = 235, cPtr = 235, rPtr = 236
lPtr = 235, cPtr = 235, rPtr = 236
lPtr = 235, cPtr = 235, rPtr = 236
lPtr = 235, cPtr = 235, rPtr = 236
lPtr = 235, cPtr = 235, rPtr = 236
lPtr = 235, cPtr = 235, rPtr = 236
lPtr = 235, cPtr = 235, rPtr = 236
lPtr = 235, cPtr = 235, rPtr = 236
lPtr = 235, cPtr = 235, rPtr = 236
lPtr = 235, cPtr = 235, rPtr = 236
lPtr = 235, cPtr = 235, rPtr = 236
lPtr = 235, cPtr = 235, rPtr = 236
lPtr = 235, cPtr = 235, rPtr = 236
lPtr = 235, cPtr = 235, rPtr = 236
lPtr = 235, cPtr = 235, rPtr = 236
lPtr = 235, cPtr = 235, rPtr = 236
lPtr = 235, cPtr = 235, rPtr = 236
lPtr = 235, cPtr = 235, rPtr = 236
lPtr = 235, cPtr = 235, rPtr = 236
lPtr = 235, cPtr = 235, rPtr = 236
lPtr = 235, cPtr = 235, rPtr = 236
lPtr = 235, cPtr = 235, rPtr = 236
lPtr = 235, cPtr = 235, rPtr = 236
lPtr = 235, cPtr = 235, rPtr = 236
lPtr = 235, cPtr = 235, rPtr = 236
lPtr = 235, cPtr = 235, rPtr = 236
lPtr = 235, cPtr = 235, rPtr = 236
lPtr = 235, cPtr = 235, rPtr = 236
lPtr = 235, cPtr = 235, rPtr = 236
lPtr = 235, cPtr = 235, rPtr = 236
lPtr = 235, cPtr = 235, rPtr = 236
lPtr = 235, cPtr = 235, rPtr = 236
lPtr = 235, cPtr = 235, rPtr = 236
lPtr = 235, cPtr = 235, rPtr = 236
lPtr = 235, cPtr = 235, rPtr = 236
lPtr = 235, cPtr = 235, rPtr = 236
lPtr = 235, cPtr = 235, rPtr = 236
lPtr = 235, cPtr = 235, rPtr = 236
lPtr = 235, cPtr = 235, rPtr = 236
lPtr = 235, cPtr = 235, rPtr = 236
lPtr = 235, cPtr = 235, rPtr = 236
lPtr = 235, cPtr = 235, rPtr = 236
lPtr = 235, cPtr = 235, rPtr = 236
lPtr = 235, cPtr = 235, rPtr = 236
lPtr = 235, cPtr = 235, rPtr = 236
lPtr = 235, cPtr = 235, rPtr = 236
lPtr = 235, cPtr = 235, rPtr = 236
lPtr = 235, cPtr = 235, rPtr = 236
lPtr = 235, cPtr = 235, rPtr = 236
lPtr = 235, cPtr = 235, rPtr = 236
lPtr = 235, cPtr = 235, rPtr = 236
lPtr = 235, cPtr = 235, rPtr = 236
lPtr = 235, cPtr = 235, rPtr = 236
lPtr = 235, cPtr = 235, rPtr = 236
lPtr = 235, cPtr = 235, rPtr = 236
lPtr = 235, cPtr = 235, rPtr = 236
lPtr = 235, cPtr = 235, rPtr = 236
lPtr = 235, cPtr = 235, rPtr = 236
lPtr = 235, cPtr = 235, rPtr = 236
lPtr = 235, cPtr = 235, rPtr = 236
lPtr = 235, cPtr = 235, rPtr = 236
lPtr = 235, cPtr = 235, rPtr = 236
lPtr = 235, cPtr = 235, rPtr = 236
lPtr = 235, cPtr = 235, rPtr = 236
lPtr = 235, cPtr = 235, rPtr = 236
lPtr = 235, cPtr = 235, rPtr = 236
lPtr = 235, cPtr = 235, rPtr = 236
lPtr = 235, cPtr = 235, rPtr = 236
lPtr = 235, cPtr = 235, rPtr = 236
lPtr = 235, cPtr = 235, rPtr = 236
lPtr = 235, cPtr = 235, rPtr = 236
lPtr = 235, cPtr = 235, rPtr = 236
lPtr = 235, cPtr = 235, rPtr = 236
lPtr = 235, cPtr = 235, rPtr = 236
lPtr = 235, cPtr = 235, rPtr = 236
lPtr = 235, cPtr = 235, rPtr = 236
lPtr = 235, cPtr = 235, rPtr = 236
lPtr = 235, cPtr = 235, rPtr = 236
lPtr = 235, cPtr = 235, rPtr = 236
lPtr = 235, cPtr = 235, rPtr = 236
lPtr = 235, cPtr = 235, rPtr = 236
lPtr = 235, cPtr = 235, rPtr = 236
lPtr = 235, cPtr = 235, rPtr = 236
lPtr = 235, cPtr = 235, rPtr = 236
lPtr = 235, cPtr = 235, rPtr = 236
lPtr = 235, cPtr = 235, rPtr = 236
lPtr = 235, cPtr = 235, rPtr = 236
lPtr = 235, cPtr = 235, rPtr = 236
lPtr = 235, cPtr = 235, rPtr = 236
lPtr = 235, cPtr = 235, rPtr = 236
lPtr = 235, cPtr = 235, rPtr = 236
lPtr = 235, cPtr = 235, rPtr = 236
lPtr = 235, cPtr = 235, rPtr = 236
lPtr = 235, cPtr = 235, rPtr = 236
lPtr = 235, cPtr = 235, rPtr = 236
lPtr = 235, cPtr = 235, rPtr = 236
lPtr = 235, cPtr = 235, rPtr = 236
lPtr = 235, cPtr = 235, rPtr = 236
lPtr = 235, cPtr = 235, rPtr = 236
lPtr = 235, cPtr = 235, rPtr = 236
lPtr = 235, cPtr = 235, rPtr = 236
lPtr = 235, cPtr = 235, rPtr = 236
lPtr = 235, cPtr = 235, rPtr = 236
lPtr = 235, cPtr = 235, rPtr = 236
lPtr = 235, cPtr = 235, rPtr = 236
lPtr = 235, cPtr = 235, rPtr = 236
lPtr = 235, cPtr = 235, rPtr = 236
lPtr = 235, cPtr = 235, rPtr = 236
lPtr = 235, cPtr = 235, rPtr = 236
lPtr = 235, cPtr = 235, rPtr = 236
lPtr = 235, cPtr = 235, rPtr = 236
lPtr = 235, cPtr = 235, rPtr = 236
lPtr = 235, cPtr = 235, rPtr = 236
lPtr = 235, cPtr = 235, rPtr = 236
lPtr = 235, cPtr = 235, rPtr = 236
lPtr = 235, cPtr = 235, rPtr = 236
lPtr = 235, cPtr = 235, rPtr = 236
lPtr = 235, cPtr = 235, rPtr = 236
lPtr = 235, cPtr = 235, rPtr = 236
lPtr = 235, cPtr = 235, rPtr = 236
lPtr = 235, cPtr = 235, rPtr = 236
lPtr = 235, cPtr = 235, rPtr = 236
lPtr = 235, cPtr = 235, rPtr = 236
lPtr = 235, cPtr = 235, rPtr = 236
lPtr = 235, cPtr = 235, rPtr = 236
lPtr = 235, cPtr = 235, rPtr = 236
lPtr = 235, cPtr = 235, rPtr = 236
lPtr = 235, cPtr = 235, rPtr = 236
lPtr = 235, cPtr = 235, rPtr = 236
lPtr = 235, cPtr = 235, rPtr = 236
lPtr = 235, cPtr = 235, rPtr = 236
lPtr = 235, cPtr = 235, rPtr = 236
lPtr = 235, cPtr = 235, rPtr = 236
lPtr = 235, cPtr = 235, rPtr = 236
lPtr = 235, cPtr = 235, rPtr = 236
lPtr = 235, cPtr = 235, rPtr = 236
lPtr = 235, cPtr = 235, rPtr = 236
lPtr = 235, cPtr = 235, rPtr = 236
lPtr = 235, cPtr = 235, rPtr = 236
lPtr = 235, cPtr = 235, rPtr = 236
lPtr = 235, cPtr = 235, rPtr = 236
lPtr = 235, cPtr = 235, rPtr = 236
lPtr = 235, cPtr = 235, rPtr = 236
lPtr = 235, cPtr = 235, rPtr = 236
lPtr = 235, cPtr = 235, rPtr = 236
lPtr = 235, cPtr = 235, rPtr = 236
lPtr = 235, cPtr = 235, rPtr = 236
lPtr = 235, cPtr = 235, rPtr = 236
lPtr = 235, cPtr = 235, rPtr = 236
lPtr = 235, cPtr = 235, rPtr = 236
lPtr = 235, cPtr = 235, rPtr = 236
lPtr = 235, cPtr = 235, rPtr = 236
lPtr = 235, cPtr = 235, rPtr = 236
lPtr = 235, cPtr = 235, rPtr = 236
lPtr = 235, cPtr = 235, rPtr = 236
lPtr = 235, cPtr = 235, rPtr = 236
lPtr = 235, cPtr = 235, rPtr = 236
lPtr = 235, cPtr = 235, rPtr = 236
lPtr = 235, cPtr = 235, rPtr = 236
lPtr = 235, cPtr = 235, rPtr = 236
lPtr = 235, cPtr = 235, rPtr = 236
lPtr = 235, cPtr = 235, rPtr = 236
lPtr = 235, cPtr = 235, rPtr = 236
lPtr = 235, cPtr = 235, rPtr = 236
lPtr = 235, cPtr = 235, rPtr = 236
lPtr = 235, cPtr = 235, rPtr = 236
lPtr = 235, cPtr = 235, rPtr = 236
lPtr = 235, cPtr = 235, rPtr = 236
lPtr = 235, cPtr = 235, rPtr = 236
lPtr = 235, cPtr = 235, rPtr = 236
lPtr = 235, cPtr = 235, rPtr = 236
lPtr = 235, cPtr = 235, rPtr = 236
lPtr = 235, cPtr = 235, rPtr = 236
lPtr = 235, cPtr = 235, rPtr = 236
lPtr = 235, cPtr = 235, rPtr = 236
lPtr = 235, cPtr = 235, rPtr = 236
lPtr = 235, cPtr = 235, rPtr = 236
lPtr = 235, cPtr = 235, rPtr = 236
lPtr = 235, cPtr = 235, rPtr = 236
lPtr = 235, cPtr = 235, rPtr = 236
lPtr = 235, cPtr = 235, rPtr = 236
lPtr = 235, cPtr = 235, rPtr = 236
lPtr = 235, cPtr = 235, rPtr = 236
lPtr = 235, cPtr = 235, rPtr = 236
lPtr = 235, cPtr = 235, rPtr = 236
lPtr = 235, cPtr = 235, rPtr = 236
lPtr = 235, cPtr = 235, rPtr = 236
lPtr = 235, cPtr = 235, rPtr = 236
